time, wave, castedWave, filteredWave
0.003946, -212.087372, -212.087372, -0.058151
0.003968, 388.440491, 388.440491, 0.011368
0.003991, 847.668518, 847.668518, 0.076721
0.004014, 998.573059, 998.573059, 0.114212
0.004036, 786.251892, 786.251892, 0.110107
0.004059, 287.935699, 287.935699, 0.066025
0.004082, -315.103699, -315.103699, -0.002167
0.004104, -803.537781, -803.537781, -0.069473
0.004127, -999.689209, -999.689209, -0.111603
0.004150, -832.208862, -832.208862, -0.113037
0.004172, -362.028625, -362.028625, -0.073456
0.004195, 239.844620, 239.844620, -0.007065
0.004218, 754.475647, 754.475647, 0.061813
0.004240, 994.670044, 994.670044, 0.108276
0.004263, 873.058472, 873.058472, 0.115311
0.004286, 433.887695, 433.887695, 0.080429
0.004308, -163.113586, -163.113586, 0.016266
0.004331, -700.783142, -700.783142, -0.053787
0.004354, -983.546509, -983.546509, -0.104294
0.004376, -908.555176, -908.555176, -0.116852
0.004399, -503.083923, -503.083923, -0.086914
0.004422, 85.381500, 85.381500, -0.025360
0.004444, 642.789856, 642.789856, 0.045410
0.004467, 966.386719, 966.386719, 0.099701
0.004490, 938.469788, 938.469788, 0.117661
0.004512, 569.192627, 569.192627, 0.092911
0.004535, -7.125416, -7.125412, 0.034256
0.004558, -580.851624, -580.851624, -0.036743
0.004580, -943.291870, -943.291870, -0.094482
0.004603, -962.624878, -962.624878, -0.117767
0.004626, -631.808105, -631.808105, -0.098282
0.004649, -71.174400, -71.174393, -0.042999
0.004671, 515.348633, 515.348633, 0.027878
0.004694, 914.411194, 914.411194, 0.088669
0.004717, 980.872192, 980.872192, 0.117157
0.004739, 690.546082, 690.546082, 0.103058
0.004762, 149.037415, 149.037415, 0.051468
0.004785, -446.671570, -446.671570, -0.018860
0.004807, -879.918518, -879.918518, -0.082291
0.004830, -993.099731, -993.099731, -0.115845
0.004853, -745.046021, -745.046021, -0.107193
0.004875, -225.998001, -225.998001, -0.059616
0.004898, 375.264038, 375.264038, 0.009689
0.004921, 840.025696, 840.025696, 0.075455
0.004943, 999.232422, 999.232422, 0.113770
0.004966, 794.973572, 794.973572, 0.110703
0.004989, 301.559174, 301.559174, 0.067383
0.005011, -301.553406, -301.553406, -0.000458
0.005034, -794.977539, -794.977539, -0.068146
0.005057, -999.232666, -999.232666, -0.111008
0.005079, -840.028992, -840.028992, -0.113541
0.005102, -375.269623, -375.269623, -0.074738
0.005125, 225.992126, 225.992126, -0.008774
0.005147, 745.050415, 745.050415, 0.060425
0.005170, 993.100464, 993.100464, 0.107559
0.005193, 879.921387, 879.921387, 0.115677
0.005215, 446.676971, 446.676971, 0.081619
